PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
UNIVERSITAS HASANUDDIN	Nusa Tenggara Timur	202	0.4
UNIVERSITAS HASANUDDIN	Papua	750	1.6
UNIVERSITAS HASANUDDIN	Papua Barat	315	0.7
UNIVERSITAS HASANUDDIN	Riau	45	0.1
UNIVERSITAS HASANUDDIN	Sulawesi Barat	1958	4.1
UNIVERSITAS HASANUDDIN	Sulawesi Selatan	37341	77.5
UNIVERSITAS HASANUDDIN	Sulawesi Tengah	1395	2.9
UNIVERSITAS HASANUDDIN	Sulawesi Tenggara	2123	4.4
UNIVERSITAS HASANUDDIN	Sulawesi Utara	262	0.5
UNIVERSITAS HASANUDDIN	Sumatera Barat	35	0.1
UNIVERSITAS HASANUDDIN	Sumatera Selatan	23	0
UNIVERSITAS HASANUDDIN	Sumatera Utara	320	0.7
UNIVERSITAS INDONESIA	Aceh	480	0.4
UNIVERSITAS INDONESIA	Bali	317	0.3
UNIVERSITAS INDONESIA	Banten	10619	9.6
UNIVERSITAS INDONESIA	Bengkulu	478	0.4
UNIVERSITAS INDONESIA	DI Yogyakarta	1034	0.9
UNIVERSITAS INDONESIA	DKI Jakarta	34320	30.9
UNIVERSITAS INDONESIA	Gorontalo	109	0.1
UNIVERSITAS INDONESIA	Jambi	605	0.5
UNIVERSITAS INDONESIA	Jawa Barat	37882	34.1
UNIVERSITAS INDONESIA	Jawa Tengah	4697	4.2
UNIVERSITAS INDONESIA	Jawa Timur	3459	3.1
UNIVERSITAS INDONESIA	Kalimantan Barat	504	0.5
UNIVERSITAS INDONESIA	Kalimantan Selatan	347	0.3
UNIVERSITAS INDONESIA	Kalimantan Tengah	204	0.2
UNIVERSITAS INDONESIA	Kalimantan Timur	578	0.5
UNIVERSITAS INDONESIA	Kalimantan Utara	60	0.1
UNIVERSITAS INDONESIA	Kepulauan Bangka Belitung	388	0.3
UNIVERSITAS INDONESIA	Kepulauan Riau	640	0.6
UNIVERSITAS INDONESIA	Lampung	1667	1.5
UNIVERSITAS INDONESIA	Maluku	203	0.2
UNIVERSITAS INDONESIA	Maluku Utara	164	0.1
UNIVERSITAS INDONESIA	Nusa Tenggara Barat	597	0.5
UNIVERSITAS INDONESIA	Nusa Tenggara Timur	308	0.3
UNIVERSITAS INDONESIA	Papua	161	0.1
UNIVERSITAS INDONESIA	Papua Barat	52	0
UNIVERSITAS INDONESIA	Riau	1349	1.2
UNIVERSITAS INDONESIA	Sulawesi Barat	67	0.1
UNIVERSITAS INDONESIA	Sulawesi Selatan	1347	1.2
UNIVERSITAS INDONESIA	Sulawesi Tengah	186	0.2
UNIVERSITAS INDONESIA	Sulawesi Tenggara	286	0.3
UNIVERSITAS INDONESIA	Sulawesi Utara	389	0.4
UNIVERSITAS INDONESIA	Sumatera Barat	2298	2.1
UNIVERSITAS INDONESIA	Sumatera Selatan	1629	1.5
UNIVERSITAS INDONESIA	Sumatera Utara	3715	3.3
UNIVERSITAS NEGERI JAKARTA	Aceh	100	0.2
UNIVERSITAS NEGERI JAKARTA	Bali	15	0
UNIVERSITAS NEGERI JAKARTA	Banten	5997	9.7
UNIVERSITAS NEGERI JAKARTA	Bengkulu	155	0.3
UNIVERSITAS NEGERI JAKARTA	DI Yogyakarta	137	0.2
UNIVERSITAS NEGERI JAKARTA	DKI Jakarta	28893	46.9
UNIVERSITAS NEGERI JAKARTA	Gorontalo	27	0
UNIVERSITAS NEGERI JAKARTA	Jambi	158	0.3
UNIVERSITAS NEGERI JAKARTA	Jawa Barat	20280	32.9
UNIVERSITAS NEGERI JAKARTA	Jawa Tengah	1276	2.1
UNIVERSITAS NEGERI JAKARTA	Jawa Timur	723	1.2
UNIVERSITAS NEGERI JAKARTA	Kalimantan Barat	83	0.1
UNIVERSITAS NEGERI JAKARTA	Kalimantan Selatan	28	0
UNIVERSITAS NEGERI JAKARTA	Kalimantan Tengah	30	0
UNIVERSITAS NEGERI JAKARTA	Kalimantan Timur	53	0.1
UNIVERSITAS NEGERI JAKARTA	Kalimantan Utara	7	0
UNIVERSITAS NEGERI JAKARTA	Kepulauan Bangka Belitung	199	0.3
UNIVERSITAS NEGERI JAKARTA	Kepulauan Riau	96	0.2
UNIVERSITAS NEGERI JAKARTA	Lampung	403	0.7
UNIVERSITAS NEGERI JAKARTA	Maluku	37	0.1
UNIVERSITAS NEGERI JAKARTA	Maluku Utara	35	0.1
UNIVERSITAS NEGERI JAKARTA	Nusa Tenggara Barat	59	0.1
UNIVERSITAS NEGERI JAKARTA	Nusa Tenggara Timur	113	0.2
UNIVERSITAS NEGERI JAKARTA	Papua	28	0
UNIVERSITAS NEGERI JAKARTA	Papua Barat	8	0
UNIVERSITAS NEGERI JAKARTA	Riau	259	0.4
UNIVERSITAS NEGERI JAKARTA	Sulawesi Barat	9	0
UNIVERSITAS NEGERI JAKARTA	Sulawesi Selatan	112	0.2
UNIVERSITAS NEGERI JAKARTA	Sulawesi Tengah	13	0
UNIVERSITAS NEGERI JAKARTA	Sulawesi Tenggara	54	0.1
UNIVERSITAS NEGERI JAKARTA	Sulawesi Utara	37	0.1
UNIVERSITAS NEGERI JAKARTA	Sumatera Barat	656	1.1
UNIVERSITAS NEGERI JAKARTA	Sumatera Selatan	241	0.4
UNIVERSITAS NEGERI JAKARTA	Sumatera Utara	1317	2.1
UNIVERSITAS NEGERI MALANG	Aceh	52	0.1
UNIVERSITAS NEGERI MALANG	Bali	190	0.4
UNIVERSITAS NEGERI MALANG	Banten	580	1.3
UNIVERSITAS NEGERI MALANG	Bengkulu	51	0.1
UNIVERSITAS NEGERI MALANG	DI Yogyakarta	139	0.3
UNIVERSITAS NEGERI MALANG	DKI Jakarta	664	1.5
UNIVERSITAS NEGERI MALANG	Gorontalo	27	0.1
UNIVERSITAS NEGERI MALANG	Jambi	85	0.2
UNIVERSITAS NEGERI MALANG	Jawa Barat	1651	3.6
UNIVERSITAS NEGERI MALANG	Jawa Tengah	1372	3
UNIVERSITAS NEGERI MALANG	Jawa Timur	35719	78
UNIVERSITAS NEGERI MALANG	Kalimantan Barat	144	0.3
UNIVERSITAS NEGERI MALANG	Kalimantan Selatan	321	0.7
UNIVERSITAS NEGERI MALANG	Kalimantan Tengah	237	0.5
UNIVERSITAS NEGERI MALANG	Kalimantan Timur	538	1.2
UNIVERSITAS NEGERI MALANG	Kalimantan Utara	129	0.3
UNIVERSITAS NEGERI MALANG	Kepulauan Bangka Belitung	88	0.2
UNIVERSITAS NEGERI MALANG	Kepulauan Riau	237	0.5
UNIVERSITAS NEGERI MALANG	Lampung	193	0.4
UNIVERSITAS NEGERI MALANG	Maluku	61	0.1
UNIVERSITAS NEGERI MALANG	Maluku Utara	54	0.1
UNIVERSITAS NEGERI MALANG	Nusa Tenggara Barat	740	1.6
UNIVERSITAS NEGERI MALANG	Nusa Tenggara Timur	546	1.2
UNIVERSITAS NEGERI MALANG	Papua	130	0.3
UNIVERSITAS NEGERI MALANG	Papua Barat	80	0.2
UNIVERSITAS NEGERI MALANG	Riau	205	0.4
